id,type,text1,text2,text3,notes,
alkemia_miningbeam,WEAPON,"A long-range laser design based on the Minig Blaster. 

To get to energy ratings beyond the giga-watt range the design relies on a built-in super capacitor banks. The drain on ship power core is significant, so few designs like the Sunder or Champion can make use of it.

Requiring signifficant time to build up the energy necessary to maintain a coherent beam, the system uses several adjustable lens assemblies to focus the beam on it's target. Ionised particles are accelerated along the beam to hit the target with signifficant kinnetic force.

The extreme range at which targets can be reached is hampered by difficulty to track anything faster then an asteroid.",,,,
alkemia_porcupine_tds,WEAPON,"A long range delivery system for two advanced guided torpedoes.

The premise of the Porcupine Torpedo Delivery System is simple - make torpedoes reach further. Two Atrops warheads were strapped to a frigate sized engine making this a versatile weapon both against larger ships and small craft.",,,,
alkemia_emp_artillery,WEAPON,"A large guided EMP warhead with a very long reach. Designed to disrupt large formations of enemy ships, ths missile can disable a frigate with a glancing hit.

Based on the Domain defense platform ordinance, the AC-EM09b missile delivers a large proximity fused electro magnetic disruptor at extereme distances. Devastating to shields, it's main disadvantage is poor manouverability.",,,,
alkemia_hedgehog,WEAPON,"Launches a cluster of free-floating mines equipped with a proximity fuse.

A Proximity Mine Launcher fires Mark VI fragmentation mines. Unguided and without a propulsion system, they rely on a friend-or-foe targeting system. Their vast numbers allow them to cover a wide swath of space, effectively creating a Point Defense barrier in that location, albeit for a limited time. When the proximity fuse is triggered by an enemy craft, the bomblet will detonate, achieving similar effects to those of flak weapons.",,,,
alkemia_atropos_pod,WEAPON,"An advanced, guided torpedo. The payload is smaller than usual to make room for the advanced guidance package and maneuvering system's reaction mass. A combat-rated autoloader system ensures usefulness in protracted engagements.

The Atropos torpedo is a large guided torpedo with an extended range. The AM-catalyzed nuclear warhead typically used in torpedo warheads is missing here as baryonic interference from the detonator would foul the guidance systems. It is replaced by a smaller, yet still potent chemical charge.",,,,
alkemia_drone_repair,SHIP,A common remote controlled repair drone. Useful for armour repairs even during battle.,,,,
alkemia_deluxe,SHIP,"A highly customizable two seat heavy fighter boasting two hybrid and two reconfigurable missile hardpoints, plus an afterburner.",,,,
alkemia_syreen,SHIP,"The Syreen represents an effective interceptor unit, capable of taking out whole enemy fighter formations on its own.",,,,
alkemia_dromader,SHIP,"Versatile trans-atmospheric dropship with a moderately sized cargo hold. Features a ground support package, a limited use nanoforge and a large missile store.",,,,
alkemia_roost,SHIP,"A retrofit of the Drover, this destroyer now features a universal medium turret and a rear facing small hybrid turret, as well as a hybrid upgrade to the remaining turrets. This came at the cost of additional fighter capacity, but flare launchers were installed to improve protection.",,,,
alkemia_buzzard,SHIP,"A dedicated missile destroyer based on the Hammerhead. Boasting an impressive ordinance store and rapid autoloaders, the Buzzard can deal a staggering amount of damage for it's size.",,,,
alkemia_perch,SHIP,"A refit of the Champion, this heavy cruiser trades it's heavy turret and downsizes it's missile slot for three fighter bays. Remaining frontal turrets have been overhauled to fit a wider variety of armaments. The internal capacitors of the original were replaced with an improved fighter manufactory.

This is one of Alkemia Customs' flagship products.",,,,
alkemia_rime_racer,SHIP,"When the Alkemia Customs managers were looking for a luxury yacht, the sleek Diable Avionics Rime caught their attention. Unfortunately, it lacked one crucial element - speed. To remedy this, engine systems were replaced and afterburners were installed. This ship is for racing rather than cruising!",,,,
alkemia_shepherd,SHIP,"A refit of the classic Ko Combine r450 focusing on actual military use. The integrated wing was replaced with Repair Drones and all systems were upgraded according to modern military standards. This unfortunately necessitated the removal of Salvage Equipment. 

This is one of Alkemia Customs' flagship products.",,,,
alkemia_lifter,SHIP,This ship was built out of necessity as Alkemia manufactories had no access to blueprints of ships other than Midline. So their choice of small cargo ships was very slim. To solve this logistical problem the workshops came back with a design based on the readily available Brawler chassis and a few cargo containers.,,,,
alkemia_falcon_cargo,SHIP,"Another repurposed military hull in Alkemia Customs's fleet, the Falcon Cargo was born of necessity. It turned out almost as capable as a Colossus, but signifficantly better armed, despite the necessary removal of some hardpoints. Unsurprisingly, goods deliveries done by Company convoys reached new hights in reliability.",,,,
alkemia_hammer_tanker,SHIP,"Like with the Falcon Cargo, Alkemia Customs had an abundace of millitary designs, but few logistics vessels. This was an attempt to fit prometheum tanks on the Hammerhead destroyer chassis. Many Comapny captains will voice their approval for the level of protection this vessel gives them.",,,,
alkemia_consolidation,SHIP,"The Consolidation-class is the pinnacle of Alkemia Customs technological knowledge. It integrates one of the largest missile systems found anywhere in the Sector, and retains a lot of the features of the Conquest-class. Repair drone bays were also fitted for on-site repairs.",,,,
alkemia_rigger,SHIP,"The Rigger in one of the largest and most expensive mobile repair docks ever built, rivaled only by Roider Argo-class. It features numerous repair, salvage and production facilities, massive part stores and, last but not least, two drone hangars. All that makes it capable of salvaging and refitting all but the largest vessels.

The Rigger's hull is modular, each of it's prows equipped with independent shield emmiters, defense systems and fire control. Furthermore the loss of one prow does not compromise the ship as a whole, altough it is still undoubtedly crippled.",,,,
alkemia_kestrel,SHIP,"The Kestrel is the essence of Techie design ideology. It is fast - even without it's afterburner - has an array of varied weapon mounts, and packs a punch with an integrated Atropos torpedo launcher. It was also designed with stealth in mind, with an integrated ECM suite and low profile engine exhausts.",,,,
alkemia_coockoo,SHIP,"Another refit of the classic Ko Combine r450 completely repurposing it's interior space - most of it now housing a proximity mine nanoforge. The now purposeless drone landing pad was replaced with a secondary defense turret, and the front part houses a high-resolution sensor array indispensible in it's new line of duty.",,,,
alkemia_pheasant,SHIP,"Created with the synergy of the ER Mining Laser and Sunder power core in mind, the Pheasant is a dedicated mining ship. Able to break even large asteroids into smaller chunks from a safe distance, it relies on it's drones to perform the actual mineral extraction. 

Still an experimental platform, it retains some of the features of the original chassis, while signifficantly expanding cargo capacity.",,,,
alkemia_afterburner,SHIP_SYSTEM,Temporarily engages an afterburner on the ship. Provides a massive speed boost at the expense of weapons and manouverability. The ship runs the risk of full engine flameout on any significant collision.,Movement,Provides a massive speed boost for at the expense of weapons and manouverability. Collisions can cause a flameout while the system is active.,,
alkemia_emp,SHIP_SYSTEM,"Activates an EMP generator. Nearby missiles, fighters, weapon emplacements and engines of enemy ships are all targeted and can be disabled in short order.

Unfortunately, on-board weapon systems must be shut down to provide power for this device. The EMP pulses are also not very effective against enemy shields.",Special,"Generates lightning arcs that quickly knock out enemy missiles, weapons, and engines within range. Mostly negated by shields.",,
krieg_planet_desc,CUSTOM,"Home to a large population, this planet has reverted to a very basic technological level. Combustion engines are used for transportation, factories spew smoke into the atmosphere. Nevertheless the landscape is dominated by green crop fields both illuminated and shaded by it's solar array.",,This Terran planet is covered in thick cloud cover. It's strong magnetic field creates fascinating auroras.,,
krieg_burrow_station_desc,CUSTOM,"Formerly an asteroid research station, this sturdy platform now houses a small population of outsiders.",,,,
krieg_fuelbomb,WEAPON,"A powerful and unstable warhead with a rudimentary guidance system",,,,
krieg_artillery_rockets,WEAPON,"A battery of medium sized unguided rockets. This weapon can deliver an astonishing amount of warheads at medium ranges.",,,,
krieg_rockets,WEAPON,"A pod of simple rockets. Launching bursts of four at a time, it can be devastationg to unshielded targets.",,,,
krieg_mg,WEAPON,"A simple defense weapon suitable against ordinance and fighters alike.",,,,
krieg_light_flak,WEAPON,"A simple mortar firing timed fuse explosive shells. Good against fighter formations and missile barrages due to it's explosion radius.",,,,
krieg_dual_rail,WEAPON,"Specialized dual anti-shield gun with decent accuracy. Propelling it's spike shaped projectiles to super-sonic speeds. Ammo clips used ensure reliability and high fire rate.",,,,
krieg_spiker,WEAPON,"Specialized large anti-shield gun with good accuracy. Propelling it's spike shaped projectiles to super-sonic speeds. Ammo clips used ensure reliability and high fire rate.",,,,
krieg_fragger,WEAPON,"A cluster missile for dealing with more manouverable targets. Delivers a barrage of shrapnel to a sizable area.",,,,
krieg_bombard,WEAPON,"An assault weapon for defeating armoured targets. Delivers considerable damage at a steep flux cost.",,,,
